'가고일스', 'gargoyles'
'가글', 'gargle'
'가나이트', 'gahnite'
'가낙솔론', 'ganaxolone'
'가네팅', 'garnetting'
'가넷', 'garnett'
'가노인', 'ganoin'
'가니', 'garni'
'가니시', 'garnish'
'가니어라이트', 'garnierite'
'가닛', 'garnet'
'가닛 페이퍼', 'garnet paper'
'가닛 레드', 'garnet red'
'가도디아미드', 'gadodiamide'
'가도테리돌', 'gadoteridol'
'가돌리나이트', 'gadolinite'
'가돌리늄', 'gadolinium'
'가드', 'guard'
'가드 록', 'god rock'
'가드 밴드', 'guard band'
'가드 체인', 'guard chain'
'가드 케이블', 'guard cable'
'가드 파이프', 'guard pipe'
'가드 패스', 'guard pass'
'가드 포스팅 미스매치', 'guard posting mismatch'
'가드 헤어', 'guard hair'
'가드닝', 'gardening'
'가드레일', 'guardrail'
'가드즈', 'guards'
'가드즈 오버코트', 'guards overcoat'
'가드즈맨 코트', 'guardsman coat'
'가드 펜스', 'guard fence'
'가든', 'garden'
'가든 골프', 'garden golf'
'가든 디자이너', 'garden designer'
'가든 모어', 'garden mower'
'가든 버거', 'garden burger'
'가든 파티', 'garden party'
'가든 피', 'garden pea'
'가디건', 'cardigan'
'가딩', 'guarding'
'가롱', 'gallon'
'가르바지 캔 아 리드 샷', 'garbage can a lid shot'
'가리 서지', 'gari serge'
'가리 얀', 'gari yarn'
'가리그', 'garigue'
'가리알', 'garial'
'가먼트', 'garment'
'가먼트 다이', 'garment dye'
'가먼트 레더', 'garment leather'
'가먼트 백', 'garment bag'
'가먼트 스웨터', 'garment sweater'
'가메토고니', 'gametogony'
'가메트', 'gamete'
'가메티드', 'gametide'
'가메프로스트', 'gemeprost'
'가모거니', 'gamogony'
'가모뎀', 'gamodeme'
'가모제네시스', 'gamogenesis'
'가몬', 'gamone'
'가몬트', 'gamont'
'가바', 'GABA'
'가바펜틴', 'gabapentin'
'가버', 'gabber'
'가벡세이트', 'gabexate'
'가볼러지', 'garbology'
'가볼로지', 'garbology'
'가브', 'garb'
'가비지', 'garbage'
'가비지 매트', 'garbage matte'
'가비지 맨', 'garbage man'
'가비지 샷', 'garbage shot'
'가비지 컬렉션', 'garbage collection'
'가비지 타임', 'garbage time'
'가소겐', 'gasogen'
'가소올', 'gasohol'
'가솔린', 'gasoline'
'가솔린 게이지', 'gasoline gauge'
'가솔린 엔진', 'gasoline engine'
'가솔린 탱크', 'gasoline tank'
'가솔린 펌프', 'gasoline pump'
'가스', 'gas'
'가스 돔', 'gas dome'
'가스 렌즈', 'gas lens'
'가스 마스크', 'gas mask'
'가스 모니터', 'gas monitor'
'가스 미터', 'gas meter'
'가스 바이 패스 댐퍼', 'gas by pass damper'
'가스 밸브', 'gas valve'
'가스 버블', 'gas bubble'
'가스 뷰렛', 'gas burette'
'가스 브레이징', 'gas brazing'
'가스 사이클론', 'gas cyclone'
'가스 샘플러', 'gas sampler'
'가스 셀', 'gas cell'
'가스 엔진', 'gas engine'
'가스 오븐', 'gas oven'
'가스 익스팬더', 'gas expander'
'가스 카본', 'gas carbon'
'가스 컬렉터', 'gas collector'
'가스 코크스', 'gas cokes'
'가스 콕', 'gas cock'
'가스 콘크리트', 'gas concrete'
'가스 크로마토그래프', 'gas chromatograph'
'가스 크로마토그래피', 'gas chromatography'
'가스 타르', 'gas tar'
'가스 타이머', 'gas timer'
'가스 터빈', 'gas turbine'
'가스 터빈 사이클', 'gas turbine cycle'
'가스 터빈 엔진', 'gas turbine engine'
'가스 트랩', 'gas trap'
'가스 파이프라인', 'gas pipeline'
'가스 패널', 'gas panel'
'가스 패킹', 'gas packing'
'가스 퍼지', 'gas purge'
'가스 포켓', 'gas pocket'
'가스 플라스마 디스플레이', 'gas plasma display'
'가스 피펫', 'gas pipette'
'가스 필터', 'gas filter'
'가스 하이드레이트', 'gas hydrate'
'가스 허브', 'gas hub'
'가스 홀더', 'gas holder'
'가스 라이터', 'gas lighter'
'가스라이트', 'gaslight'
'가스 램프', 'gas lamp'
'가스 레인지', 'gas range'
'가스 렌지', 'gas range'
'가스 맨틀', 'gas mantle'
'가스 버너', 'gas burner'
'가스 보일러', 'gas boiler'
'가스 블랙', 'gas black'
