{'num': 1, 'origin_lang': '&', 'pronun_list': '앤드'},
{'num': 2, 'origin_lang': '&', 'pronun_list': '앤'},
{'num': 3, 'origin_lang': '&', 'pronun_list': '엔'},
{'num': 4, 'origin_lang': 'A', 'pronun_list': '에이'},
{'num': 5, 'origin_lang': 'A', 'pronun_list': '이'},
{'num': 6, 'origin_lang': 'A', 'pronun_list': '아'},
{'num': 7, 'origin_lang': 'AA', 'pronun_list': '에이에이'},
{'num': 8, 'origin_lang': 'AAA', 'pronun_list': '에이에이에이'},
{'num': 9, 'origin_lang': 'AAAC', 'pronun_list': '에이에이에이시'},
{'num': 10, 'origin_lang': 'AAC', 'pronun_list': '에이에이시'},
{'num': 11, 'origin_lang': 'AACM', 'pronun_list': '에이에이시엠'},
{'num': 12, 'origin_lang': 'AACSR', 'pronun_list': '에이에이시에스아르'},
{'num': 13, 'origin_lang': 'AAD', 'pronun_list': '에이에이디'},
{'num': 14, 'origin_lang': 'AADT', 'pronun_list': '에이에이디티'},
{'num': 15, 'origin_lang': 'AAF', 'pronun_list': '에이에이에프'},
{'num': 16, 'origin_lang': 'AAI', 'pronun_list': '에이에이아이'},
{'num': 17, 'origin_lang': 'AALA', 'pronun_list': '아알라'},
{'num': 18, 'origin_lang': 'AAM', 'pronun_list': '에이에이엠'},
{'num': 19, 'origin_lang': 'AARE', 'pronun_list': '에이에이아르이'},
{'num': 20, 'origin_lang': 'AARQ', 'pronun_list': '에이에이아르큐'},
{'num': 21, 'origin_lang': 'AAU', 'pronun_list': '에이에이유'},
{'num': 22, 'origin_lang': 'AB', 'pronun_list': '에이비'},
{'num': 23, 'origin_lang': 'ABA', 'pronun_list': '에이비에이'},
{'num': 24, 'origin_lang': 'ABB', 'pronun_list': '에이비비'},
{'num': 25, 'origin_lang': 'ABC', 'pronun_list': '에이비시'},
{'num': 26, 'origin_lang': 'ABCP', 'pronun_list': '에이비시피'},
{'num': 27, 'origin_lang': 'ABDR', 'pronun_list': '에이비디아르'},
{'num': 28, 'origin_lang': 'ABEDA', 'pronun_list': '에이비이디에이'},
{'num': 29, 'origin_lang': 'ABG', 'pronun_list': '에이비지'},
{'num': 30, 'origin_lang': 'ABIOS', 'pronun_list': '에이바이오스'},
{'num': 31, 'origin_lang': 'ABM', 'pronun_list': '에이비엠'},
{'num': 32, 'origin_lang': 'ABO', 'pronun_list': '에이비오'},
{'num': 33, 'origin_lang': 'ABR', 'pronun_list': '에이비아르'},
{'num': 34, 'origin_lang': 'ABS', 'pronun_list': '에이비에스'},
{'num': 35, 'origin_lang': 'ABSPDU', 'pronun_list': '에이비에스피디유'},
{'num': 36, 'origin_lang': 'ABSTB', 'pronun_list': '에이비에스티비'},
{'num': 37, 'origin_lang': 'ABSTRIPS', 'pronun_list': '에이비스트립스'},
{'num': 38, 'origin_lang': 'ABU', 'pronun_list': '에이비유'},
{'num': 39, 'origin_lang': 'ABX', 'pronun_list': '에이비엑스'},
{'num': 40, 'origin_lang': 'AC', 'pronun_list': '에이시'},
{'num': 41, 'origin_lang': 'ACAP', 'pronun_list': '에이시에이피'},
{'num': 42, 'origin_lang': 'ACAR', 'pronun_list': '에이시에이아르'},
{'num': 43, 'origin_lang': 'ACATS', 'pronun_list': '에이시에이티에스'},
{'num': 44, 'origin_lang': 'ACB', 'pronun_list': '에이시비'},
{'num': 45, 'origin_lang': 'ACC', 'pronun_list': '에이시시'},
{'num': 46, 'origin_lang': 'ACD', 'pronun_list': '에이시디'},
{'num': 47, 'origin_lang': 'ACE', 'pronun_list': '에이시이'},
{'num': 48, 'origin_lang': 'ACELP', 'pronun_list': '에이시이엘피'},
{'num': 49, 'origin_lang': 'ACEPT', 'pronun_list': '에이시이피티'},
{'num': 50, 'origin_lang': 'ACF', 'pronun_list': '에이시에프'},
{'num': 51, 'origin_lang': 'ACH', 'pronun_list': '에이시에이치'},
{'num': 52, 'origin_lang': 'ACI', 'pronun_list': '에이시아이'},
{'num': 53, 'origin_lang': 'ACIA', 'pronun_list': '에이시아이에이'},
{'num': 54, 'origin_lang': 'ACK', 'pronun_list': '에이시케이'},
{'num': 55, 'origin_lang': 'ACL', 'pronun_list': '에이시엘'},
{'num': 56, 'origin_lang': 'ACM', 'pronun_list': '에이시엠'},
{'num': 57, 'origin_lang': 'ACN', 'pronun_list': '에이시엔'},
{'num': 58, 'origin_lang': 'ACO', 'pronun_list': '에이시오'},
{'num': 59, 'origin_lang': 'ACP', 'pronun_list': '에이시피'},
{'num': 60, 'origin_lang': 'ACPI', 'pronun_list': '에이시피아이'},
{'num': 61, 'origin_lang': 'ACQ', 'pronun_list': '에이시큐'},
{'num': 62, 'origin_lang': 'ACR', 'pronun_list': '에이시아르'},
{'num': 63, 'origin_lang': 'ACRS', 'pronun_list': '에이시아르에스'},
{'num': 64, 'origin_lang': 'ACS', 'pronun_list': '에이시에스'},
{'num': 65, 'origin_lang': 'ACSA', 'pronun_list': '에이시에스에이'},
{'num': 66, 'origin_lang': 'ACSC', 'pronun_list': '에이시에스시'},
{'num': 67, 'origin_lang': 'ACSE', 'pronun_list': '에이시에스이'},
{'num': 68, 'origin_lang': 'ACSI', 'pronun_list': '에이시에스아이'},
