가고일스, gargoyles
가글, gargle
가나이트, gahnite
가낙솔론, ganaxolone
가네팅, garnetting
가넷, garnett
가노인, ganoin
가니, garni
가니시, garnish
가니어라이트, garnierite
가닛, garnet
페이퍼, paper
레드, red
가도디아미드, gadodiamide
가도테리돌, gadoteridol
가돌리나이트, gadolinite
가돌리늄, gadolinium
가드, guard
가드, god
록, rock
밴드, band
체인, chain
케이블, cable
파이프, pipe
패스, pass
포스팅, posting
미스매치, mismatch
헤어, hair
가드닝, gardening
가드레일, guardrail
가드즈, guards
오버코트, overcoat
가드즈맨, guardsman
코트, coat
펜스, fence
가든, garden
골프, golf
디자이너, designer
모어, mower
버거, burger
파티, party
피, pea
가디건, cardigan
가딩, guarding
가롱, gallon
가르바지, garbage
캔, can
아, a
리드, lid
샷, shot
가리, gari
서지, serge
얀, yarn
가리그, garigue
가리알, garial
가먼트, garment
다이, dye
레더, leather
백, bag
스웨터, sweater
가메토고니, gametogony
가메트, gamete
가메티드, gametide
가메프로스트, gemeprost
가모거니, gamogony
가모뎀, gamodeme
가모제네시스, gamogenesis
가몬, gamone
가몬트, gamont
가바, GABA
가바펜틴, gabapentin
가버, gabber
가벡세이트, gabexate
가볼러지, garbology
가볼로지, garbology
가브, garb
가비지, garbage
매트, matte
맨, man
컬렉션, collection
타임, time
가소겐, gasogen
가소올, gasohol
가솔린, gasoline
게이지, gauge
엔진, engine
탱크, tank
펌프, pump
가스, gas
돔, dome
렌즈, lens
마스크, mask
모니터, monitor
미터, meter
바이, by
댐퍼, damper
밸브, valve
버블, bubble
뷰렛, burette
브레이징, brazing
사이클론, cyclone
샘플러, sampler
셀, cell
오븐, oven
익스팬더, expander
카본, carbon
컬렉터, collector
코크스, cokes
콕, cock
콘크리트, concrete
크로마토그래프, chromatograph
크로마토그래피, chromatography
타르, tar
타이머, timer
터빈, turbine
사이클, cycle
트랩, trap
파이프라인, pipeline
패널, panel
패킹, packing
퍼지, purge
포켓, pocket
플라스마, plasma
디스플레이, display
피펫, pipette
필터, filter
하이드레이트, hydrate
허브, hub
홀더, holder
라이터, lighter
가스라이트, gaslight
램프, lamp
레인지, range
렌지, range
맨틀, mantle
버너, burner
보일러, boiler
블랙, black
스토브, stove
가스켓, gasket
가스킷, gasket
가스테리아, gasteria
가스트린, gastrin
가스펠, gospel
메탈, metal
블루스, blues
송, song
팝, pop
퓨전, fusion
가스프, GASP
플레이션, inflation
히터, heater
가십, gossip
가얄, gayal
가우더, gouda
치즈, cheese
가우르, gaur
가우스, gauss
가우징, gouging
가운, gown
가울테리아, gaultheria
가울테린, gaultherin
가이, guy
데릭, derrick
크레인, crane
윈치, winch
가이노가몬, gynogamone
가이던스, guidance
가이드, guide
넘버, number
레일, rail
로드, rod
로프, rope
롤러, roller
마진, margin
바, bar
베어링, bearing
베인, vane
보컬, vocal
섹션, section
슈, shoe
에지, edge
존, zone
톤, tone
라인, line
백그라운드, background
트랙, track
포스트, post
가이드라인, guideline
가이드리스, guideless
클라이밍, climbing
가이드북, guidebook
가이드웨이, guideway
가이딩, guiding
라이트, light
가자니아, gazania
가젤, gazelle
브라운, brown
가츠, GATS
가터, garter
렝스, length
브리프, briefs
손, sewn
스티치, stitch
스프링, spring
벨트, belt
호즈, hose
가트, GATT
가티플록사신, gatifloxacin
가프, GARP
가프, gaff
메인세일, mainsail
가피시, garfish
캔들, candle
간사이클로비르, ganciclovir
간시클로버, ganciclovir
간틀릿, gauntlet
갈, gal
갈라, gala
갈라세토페논, gallacetophenone
갈락타아제, galactase
갈락탄, galactan
갈락토락타아제, galactolactase
갈락토만난, galactomannan
갈락토블라스트, galactoblast
갈락토사민, galactosamine
갈락토사이드, galactoside
갈락토세레브로시드, galactocerebroside
갈락토스, galactose
갈락토시데이스, galactosidase
갈락토시드, galactoside
갈락토실세라미드, galactosylceramide
갈락토오스, galactose
갈락토젠, galactogene
갈락토지마아제, galactozymase
갈락틴, galactin
갈란드, garland
갈란타민, galanthamine
갈레트, galette
갈렌데, galende
갈로사이아닌, gallocyanine
갈로시, galoshes
갈로탄닌, gallotannin
갈륨, gallium
갈리신, gallicin
갈리오넬라, Gallionella
갈리톡신, galitoxin
