english,korean
" ""'bout""", '바우트'
" ""'cause""", '커즈'
" ""'course""", '코르스'
" ""'cuse""", '키우즈'
" ""'em""", '엄'
" ""'frisco""", '프리스코우'
" ""'gain""", '겐'
" ""'kay""", '케이'
" ""'m""", '엄'
" ""'n""", '언'
" ""'round""", '라운드'
" ""'s""", '에스'
" ""'til""", '틸'
" ""'tis""", '티즈'
" ""'twas""", '퉈즈'
 'a', '에이'
 'a', '어'
" ""a's""", '에이즈'
 'a.', '에이'
" ""a.'s""", '에이즈'
 'a.d.', '에이디'
 'a.m.', '에이엠'
 'a.s', '에이즈'
 'aaa', '트리퍼레이'
 'aaberg', '아버그'
 'aachen', '아컨'
 'aachener', '아커너'
 'aaker', '아커'
 'aaliyah', '아리아'
 'aalseth', '알세스'
 'aamodt', '아머트'
 'aancor', '안코르'
 'aardema', '아르데머'
 'aardvark', '아르드바르크'
 'aardvarks', '아르드바르크스'
 'aargh', '아르그'
 'aarhus', '아후스'
 'aaron', '에런'
" ""aaron's""", '에런즈'
 'aarons', '에런즈'
 'aaronson', '아런선'
 'aaronson', '에런선'
" ""aaronson's""", '아런선즈'
" ""aaronson's""", '에런선즈'
 'aarti', '아르티'
 'aase', '아스'
 'aasen', '아선'
 'ab', '애브'
 'ab', '에이비'
 'aba', '에이비에이'
 'ababa', '아버버'
 'ababa', '어바버'
 'abacha', '애버커'
 'aback', '어배크'
 'abaco', '애버코우'
 'abacus', '애버커스'
 'abad', '어바드'
 'abadaka', '어배더커'
 'abadi', '어배디'
 'abadie', '어배디'
 'abair', '어베르'
 'abalkin', '어발킨'
 'abalone', '애버로우니'
 'abalones', '애버로우니즈'
 'abalos', '아바로우즈'
 'abandon', '어밴던'
 'abandoned', '어밴던드'
 'abandoning', '어밴더닝'
 'abandonment', '어밴던먼트'
 'abandonments', '어밴던먼츠'
 'abandons', '어밴던즈'
 'abanto', '어밴토우'
 'abarca', '어바르커'
 'abare', '아바리'
 'abascal', '애버스컬'
 'abash', '어배슈'
 'abashed', '어배슈트'
 'abasia', '어베이지어'
 'abate', '어베이트'
 'abated', '어베이티드'
 'abatement', '어베이트먼트'
 'abatements', '어베이트먼츠'
 'abates', '어베이츠'
 'abating', '어베이팅'
 'abattoir', '애버토아르'
 'abba', '애버'
 'abbado', '어바도우'
 'abbas', '어바스'
 'abbasi', '아바시'
 'abbate', '아베이트'
 'abbatiello', '아바티에로우'
 'abbe', '애비'
 'abbe', '애베이'
 'abbenhaus', '애번하우스'
 'abbett', '어베트'
 'abbeville', '애브빌'
 'abbey', '애비'
" ""abbey's""", '애비즈'
 'abbie', '애비'
 'abbitt', '애비트'
 'abbot', '애버트'
 'abbotstown', '애버츠타운'
 'abbott', '애버트'
" ""abbott's""", '애버츠'
 'abbottstown', '애버츠타운'
 'abboud', '어바우드'
 'abboud', '어부드'
 'abbreviate', '어브리비에이트'
 'abbreviated', '어브리비에이티드'
 'abbreviates', '어브리비에이츠'
 'abbreviating', '어브리비에이팅'
